Date,Open,High,Low,Close,Volume,Change
2021-01-04,291500,294000,285500,293000,947178,0.0017094017094017033
2021-01-05,291500,292500,286500,292500,912657,-0.0017064846416382506
2021-01-06,292500,300500,289500,290000,1375856,-0.008547008547008517
2021-01-07,288500,292000,286500,289500,1155734,-0.0017241379310344307
2021-01-08,293500,312000,290000,312000,3175396,0.07772020725388606
2021-01-11,320000,323500,301000,309000,2765169,-0.009615384615384581
2021-01-12,305000,308500,292500,304000,1573299,-0.016181229773462813
2021-01-13,306000,317500,304000,314000,1894304,0.03289473684210531
2021-01-14,318500,326000,314000,318000,1548585,0.01273885350318471
2021-01-15,320500,323000,305500,306000,1106810,-0.037735849056603765
2021-01-18,304500,308500,300000,300500,864969,-0.017973856209150374
2021-01-19,303500,310500,299500,308000,880238,0.024958402662229595
2021-01-20,313500,313500,302000,308000,885472,0.0
2021-01-21,316500,326000,316000,322500,1941446,0.04707792207792205
2021-01-22,332000,350000,326000,343500,3303950,0.06511627906976747
2021-01-25,349000,353000,340000,349000,1593848,0.01601164483260553
2021-01-26,350500,351000,338000,342000,1247284,-0.02005730659025784
2021-01-27,347000,352000,339500,341500,1149246,-0.0014619883040936088
2021-01-28,336000,366000,335000,355000,2285696,0.039531478770131745
2021-01-29,362000,362000,340500,343000,1607894,-0.033802816901408406
2021-02-01,346500,352500,341500,348000,988630,0.014577259475218707
2021-02-02,358000,373000,353000,362500,1951062,0.04166666666666674
2021-02-03,366500,371000,361000,370500,1197680,0.022068965517241468
2021-02-04,368000,368500,356000,358000,1160116,-0.03373819163292846
2021-02-05,363500,371500,356500,362500,982325,0.012569832402234526
2021-02-08,361500,364500,357000,357500,712484,-0.01379310344827589
2021-02-09,359500,362000,355000,358500,667655,0.002797202797202747
2021-02-10,365000,368500,359000,366500,1147417,0.02231520223152028
2021-02-15,383500,387999,378000,385500,1172475,0.05184174624829474
2021-02-16,391500,405000,390000,394000,1567108,0.02204928664072625
2021-02-17,396500,396500,386000,392000,1161595,-0.005076142131979711
2021-02-18,391500,400000,386500,388000,1020222,-0.010204081632653073
2021-02-19,387000,398500,385500,398000,1047043,0.025773195876288568
2021-02-22,400000,405500,384500,386500,1289395,-0.028894472361809087
2021-02-23,379000,394500,378499,390500,1017577,0.010349288486416475
